,Registeration_year,Name,Manufacturer,distance_travelled,fuel_used,gear_change,final_prices,years_old
38,2012,Maruti Swift Dzire VXi AT,Maruti,21000,Petrol,Automatic,425000,11
39,2015,,Maruti,25000,,,500000,8
40,2015,Tata Safari Storme EX,Tata,100000,Diesel,Manual,600000,8
41,2015,Honda Amaze S i-Vtech,Honda,59534,Petrol,Manual,440000,8
42,2019,Maruti Wagon R CNG LXI,Maruti,59000,CNG,Manual,490000,4
43,2009,Hyundai Accent Executive,Hyundai,68000,Petrol,Manual,185000,14
44,2021,BMW 5 Series 520d Luxury Line,BMW,7000,Diesel,Automatic,6575000,2
45,2011,Hyundai i10 Sportz,Hyundai,25000,Petrol,Manual,210000,12
46,2014,Hyundai i20 Asta Option 1.2,Hyundai,40008,Petrol,Manual,495000,9
47,2015,,Maruti,25000,,,500000,8
48,2017,Hyundai i20 1.4 Magna Executive,Hyundai,65392,Diesel,Manual,600000,6
49,2018,Audi Q3 30 TFSI Premium FWD,Audi,120000,Petrol,Automatic,1955000,5
50,2016,BMW 3 Series GT Luxury Line,BMW,66000,Diesel,Automatic,2550000,7
51,2016,Mercedes-Benz CLA 200 CGI Sport,Mercedes-Benz,27000,Petrol,Automatic,1950000,7
52,2017,Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,55000,Diesel,Automatic,1575000,6
53,2017,BMW 3 Series 320d Luxury Line,BMW,36000,Diesel,Automatic,2674000,6
54,2016,Tata Tiago 1.2 Revotron XT,Tata,41000,Petrol,Manual,425000,7
55,2015,,Maruti,25000,,,500000,8
56,2016,Mercedes-Benz GLE 250d,Mercedes-Benz,51000,Diesel,Automatic,3950000,7
57,2013,Audi Q7 3.0 TDI Quattro Premium Plus,Audi,83800,Diesel,Automatic,1975000,10
58,2013,Mercedes-Benz C-Class C 220 CDI BE Avantgare,Mercedes-Benz,70000,Diesel,Automatic,1349000,10
59,2017,Maruti Ciaz 1.4 Zeta,Maruti,63001,Petrol,Manual,750000,6
60,2018,Maruti Vitara Brezza ZDi,Maruti,89000,Diesel,Manual,860000,5
61,2014,Toyota Innova 2.5 VX (Diesel) 8 Seater,Toyota,153000,Diesel,Manual,1350000,9
62,2018,Mercedes-Benz GLC 220d 4MATIC Sport,Mercedes-Benz,72000,Diesel,Automatic,3576000,5
63,2015,,Maruti,25000,,,500000,8
64,2015,Hyundai Grand i10 Asta Option,Hyundai,60000,Petrol,Manual,460000,8
65,2017,Maruti Swift Dzire VXI 1.2 BS IV,Maruti,43136,Petrol,Manual,625000,6
66,2013,Audi A4 2.0 TDI,Audi,55000,Diesel,Automatic,1300000,10
67,2016,Maruti Alto 800 LXI Anniversary Edition,Maruti,55000,Petrol,Manual,275000,7
68,2019,Hyundai i20 Petrol Asta Option,Hyundai,24000,Petrol,Manual,790000,4
69,2011,Ford Fiesta EXi 1.4 TDCi Ltd,Ford,110000,Diesel,Manual,225000,12
70,2008,Honda CR-V 2.4 MT,Honda,149051,Petrol,Manual,310000,15
71,2015,,Maruti,25000,,,500000,8
72,2013,Audi A4 2.0 TDI,Audi,38000,Diesel,Automatic,1450000,10
73,2018,Ford Endeavour 3.2 Titanium AT 4X4,Ford,80000,Diesel,Automatic,2875000,5
74,2010,Tata Manza Aura Plus Quadrajet,Tata,87500,Diesel,Manual,175000,13
75,2018,Jeep Compass 1.4 Sport,Jeep,50000,Petrol,Manual,1400000,5
76,2017,Audi A3 35 TDI Premium,Audi,11000,Diesel,Automatic,2950000,6
77,2019,Toyota Innova Crysta 2.8 GX AT BSIV,Toyota,55000,Diesel,Automatic,1945000,4
78,2017,Renault Lodgy Stepway 110PS RXZ 7S,Renault,70000,Diesel,Manual,600000,6
79,2015,,Maruti,25000,,,500000,8
80,2015,Volvo XC60 D4 Summum,Volvo,105241,Diesel,Automatic,1500000,8
81,2020,BMW X1 sDrive 20d xLine,BMW,22000,Diesel,Automatic,4374000,3
82,2010,Maruti Alto LXi BSIII,Maruti,65000,Petrol,Manual,149000,13
83,2011,Tata Indica Quadrajet ZX,Tata,160000,Diesel,Manual,150000,12
84,2018,Maruti Vitara Brezza VDi AMT,Maruti,43000,Diesel,Automatic,750000,5
85,2014,Audi Q7 3.0 TDI Quattro Premium Plus,Audi,97000,Diesel,Automatic,2176000,9
86,2021,Hyundai Creta EX,Hyundai,1000,Petrol,Manual,1273000,2
87,2015,,Maruti,25000,,,500000,8
88,2014,Maruti Swift VDI,Maruti,66000,Diesel,Manual,425000,9
89,2015,Hyundai i10 Magna,Hyundai,23000,Petrol,Manual,310000,8
90,2016,Jaguar XF 2.2 Litre Luxury,Jaguar,34000,Diesel,Automatic,2473000,7
91,2009,Maruti Alto LXi,Maruti,65000,Petrol,Manual,150000,14
92,2018,Jeep Compass 2.0 Limited,Jeep,72000,Diesel,Manual,1350000,5
93,2017,Mahindra XUV500 AT W6 2WD,Mahindra,50000,Diesel,Automatic,1200000,6
94,2017,BMW 3 Series 320d,BMW,65000,Diesel,Automatic,2050000,6
95,2015,,Maruti,25000,,,500000,8
96,2012,Tata Indigo LX,Tata,80000,Diesel,Manual,150000,11
97,2014,Hyundai Grand i10 Sportz,Hyundai,54080,Petrol,Manual,325000,9
98,2013,Maruti Swift Dzire VDI,Maruti,60000,Diesel,Manual,410000,10
99,2013,Mercedes-Benz M-Class ML 350 4Matic,Mercedes-Benz,68000,Diesel,Automatic,2573000,10
100,2013,Maruti Alto K10 2010-2014 VXI,Maruti,20000,Petrol,Manual,200000,10
101,2022,Ferrari SF90 Stradale Coupe V8,Ferrari,50000,Petrol,Automatic,95000,1
102,2009,Mahindra Bolero SLX,Mahindra,149000,Diesel,Manual,300000,14
103,2015,,Maruti,25000,,,500000,8
104,2016,Mercedes-Benz GLA Class 200 CDI 4MATIC,Mercedes-Benz,22000,Diesel,Automatic,2474000,7
105,2004,Maruti Zen VXI BSII,Maruti,90000,Petrol,Manual,95000,19
106,2008,Hyundai i10 Magna 1.1L,Hyundai,120000,Petrol,Manual,100000,15
107,2013,Tata Nano LX,Tata,50000,Petrol,Manual,95000,10
108,2016,Mercedes-Benz GLA Class 200 CDI,Mercedes-Benz,31700,Diesel,Automatic,2250000,7
109,2018,Hyundai i20 Active 1.4 S,Hyundai,110000,Diesel,Manual,650000,5
110,2021,Renault KWID 1.0 RXL,Renault,5000,Petrol,Manual,420000,2
111,2015,,Maruti,25000,,,500000,8
112,2003,Maruti 800 AC,Maruti,90000,Petrol,Manual,95000,20
113,2013,BMW X1 sDrive20d,BMW,32000,Diesel,Automatic,1274000,10
114,2012,BMW 5 Series 530d,BMW,71000,Diesel,Automatic,1500000,11
115,2014,Renault Duster 85PS Diesel RxL Option,Renault,90000,Diesel,Manual,650000,9
116,2008,Maruti Wagon R LXI DUO BSIII,Maruti,120000,LPG,Manual,125000,15
117,2017,Honda City i VTEC VX,Honda,82500,Petrol,Manual,1095000,6
118,2014,Ford Ecosport 1.5 DV5 MT Titanium,Ford,71000,Diesel,Manual,410000,9
119,2015,,Maruti,25000,,,500000,8
120,2007,Maruti Wagon R LXI Minor,Maruti,120000,Petrol,Manual,95000,16
121,2011,Nissan Micra XV,Nissan,55630,Petrol,Manual,250000,12
122,2013,Mercedes-Benz S-Class S 350 CDIL,Mercedes-Benz,66000,Diesel,Automatic,1950000,10
123,2009,Chevrolet Aveo U-VA 1.2,Chevrolet,78000,Petrol,Manual,95000,14
124,2010,Maruti Swift 1.3 VXi,Maruti,40000,Petrol,Manual,320000,13
125,2012,Audi Q3 35 TDI Quattro Premium,Audi,64000,Diesel,Automatic,1300000,11
126,2012,BMW 3 Series 320d,BMW,46000,Diesel,Automatic,1074000,11
127,2015,,Maruti,25000,,,500000,8
128,2016,Honda City i VTEC V,Honda,22000,Petrol,Manual,800000,7
129,2021,Mahindra Scorpio S5,Mahindra,5000,Diesel,Manual,1360000,2
130,2014,Mahindra Scorpio VLX 2WD BSIII,Mahindra,100000,Diesel,Manual,600000,9
131,2022,Mahindra Thar LX 4-Str Hard Top Diesel AT,Mahindra,11000,Diesel,Automatic,1825000,1
132,2012,Maruti Swift Dzire VDi,Maruti,357000,Diesel,Manual,300000,11
133,2008,Hyundai Verna CRDi ABS,Hyundai,67000,Diesel,Manual,175000,15
134,2012,Chevrolet Beat Diesel LS,Chevrolet,120000,Diesel,Manual,145000,11
135,2015,,Maruti,25000,,,500000,8
136,2019,Mercedes-Benz GLC Progressive 220d,Mercedes-Benz,33000,Diesel,Automatic,5395000,4
137,2015,Maruti Swift Dzire VDI,Maruti,80000,Diesel,Manual,500000,8
138,2009,Maruti Alto LXi,Maruti,90000,Petrol,Manual,95000,14
139,2014,Mahindra XUV500 W8 AWD,Mahindra,110000,Diesel,Manual,650000,9
140,2018,Audi S5 3.0 TFSIq Tiptronic,Audi,11000,Petrol,Automatic,6500000,5
141,2013,Renault Duster 85PS Diesel RxL Option,Renault,70000,Diesel,Manual,319000,10
142,2012,Maruti Swift Dzire Vdi BSIV,Maruti,80000,Diesel,Manual,330000,11
143,2015,,Maruti,25000,,,500000,8
144,2008,Maruti Swift 1.3 VXi,Maruti,110000,Petrol,Manual,205000,15
145,2020,Mahindra Thar AX Opt 4-Str Convert Top Diesel,Mahindra,29000,Diesel,Manual,1546000,3
146,2014,Skoda Yeti Style 4X2,Skoda,120000,Diesel,Manual,750000,9
147,2015,Hyundai Xcent 1.2 Kappa S,Hyundai,15000,Petrol,Manual,450000,8
148,2021,Maruti SX4 S Cross Zeta,Maruti,35000,Petrol,Manual,1080000,2
149,2017,Hyundai Creta 1.6 VTVT E Plus,Hyundai,58596,Petrol,Manual,811000,6
150,2011,Maruti SX4 ZDI,Maruti,90000,Diesel,Manual,225000,12
151,2015,,Maruti,25000,,,500000,8
152,2006,Honda City GXi,Honda,120000,Petrol,Manual,95000,17
153,2004,Maruti Zen LXI,Maruti,132596,Petrol,Manual,400000,19
154,2013,Nissan Evalia XV,Nissan,13000,Diesel,Manual,850000,10
155,2014,Mahindra XUV500 W4,Mahindra,160000,Diesel,Manual,500000,9
156,2008,Honda CR-V 2.0L 2WD MT,Honda,100000,Petrol,Manual,260000,15
157,2020,Hyundai Creta 1.6 SX Dual Tone Diesel,Hyundai,35000,Diesel,Manual,1400000,3
158,2019,Mercedes-Benz C-Class Progressive C 220d,Mercedes-Benz,20000,Diesel,Automatic,4650000,4
159,2015,,Maruti,25000,,,500000,8
160,2011,Maruti Alto K10 LXI,Maruti,60000,Petrol,Manual,210000,12
161,2009,Mitsubishi Outlander 2.4,Mitsubishi,100000,Petrol,Automatic,380000,14
162,2005,Maruti Zen VXI,Maruti,65244,Petrol,Manual,122000,18
163,2022,Mahindra XUV700 AX7 Diesel AT Luxury Pack,Mahindra,6390,Diesel,Automatic,2900000,1
164,2014,Ford Ecosport 1.5 Ti VCT MT Ambiente,Ford,180000,Petrol,Manual,340000,9
165,2014,Maruti Swift Dzire VDI,Maruti,129809,Diesel,Manual,350000,9
166,2013,Nissan Micra XL,Nissan,42000,Petrol,Manual,260000,10
167,2015,,Maruti,25000,,,500000,8
168,2021,BMW 3 Series Gran Limousine 330Li M Sport First Edition,BMW,25000,Petrol,Automatic,6175000,2
169,2016,Maruti Wagon R LXI CNG,Maruti,129073,CNG,Manual,275000,7
170,2011,Honda City 1.5 S MT,Honda,82000,Petrol,Manual,345000,12
171,2017,Mahindra TUV 300 T8,Mahindra,32678,Diesel,Manual,900000,6
172,2015,Hyundai i10 Sportz 1.1L,Hyundai,19855,Petrol,Manual,329000,8
173,2017,Mahindra KUV 100 mFALCON G80 K2,Mahindra,38907,Petrol,Manual,200000,6
174,2012,Mahindra Bolero SLE,Mahindra,70000,Diesel,Manual,400000,11
175,2015,,Maruti,25000,,,500000,8
176,2017,Maruti Ertiga SHVS ZDI Plus,Maruti,93047,Diesel,Manual,800000,6
177,2018,Jaguar XF 2.0 Diesel Portfolio,Jaguar,54000,Diesel,Automatic,3170000,5
178,2018,Tata Tiago 1.2 Revotron XZ,Tata,26088,Petrol,Manual,480000,5
179,2015,Maruti Celerio ZXI,Maruti,90000,Petrol,Manual,309000,8
180,2011,Ford Figo Diesel ZXI,Ford,89620,Diesel,Manual,170000,12
181,2017,Mercedes-Benz GLC 220d 4MATIC Sport,Mercedes-Benz,52000,Diesel,Automatic,3350000,6
182,2012,Maruti Swift Dzire LXI,Maruti,82245,Petrol,Manual,280000,11
183,2015,,Maruti,25000,,,500000,8
184,2019,Renault Duster Petrol RXS CVT,Renault,16182,Petrol,Automatic,999000,4
185,2016,Mahindra TUV 300 T6,Mahindra,74835,Diesel,Manual,450000,7
186,2021,Kia Seltos GTX Plus DCT,Kia,20000,Petrol,Automatic,1921000,2
187,2014,Honda Mobilio S i-DTEC,Honda,60000,Diesel,Manual,350000,9
188,2010,BMW 3 Series 320d,BMW,64820,Diesel,Automatic,500000,13
189,2019,Mahindra Marazzo M8,Mahindra,64923,Diesel,Manual,1350000,4
190,2015,Jaguar XJ 3.0L Portfolio,Jaguar,66000,Diesel,Automatic,3999000,8
191,2015,,Maruti,25000,,,500000,8
192,2013,Honda City 1.5 V MT Sunroof,Honda,31112,Petrol,Manual,250000,10
193,2013,Ford Ecosport 1.5 DV5 MT Titanium,Ford,86863,Diesel,Manual,400000,10
194,2013,Mahindra XUV500 W4,Mahindra,79388,Diesel,Manual,700000,10
195,2021,Maruti Ciaz Alpha AT,Maruti,10000,Petrol,Automatic,1125000,2
196,2010,Hyundai i10 Magna 1.2,Hyundai,70515,Petrol,Manual,150000,13
197,2010,Hyundai Santro Xing GLS,Hyundai,42686,Petrol,Manual,130000,13
198,2006,Hyundai Santro Xing XL,Hyundai,65914,Petrol,Manual,100000,17
199,2015,,Maruti,25000,,,500000,8
200,2020,Kia Seltos GTX Plus AT D,Kia,17000,Diesel,Automatic,1850000,3
201,2008,Maruti Zen Estilo 1.1 VXI BSIII,Maruti,75041,Petrol,Manual,225000,15
202,2019,Hyundai i20 Sportz Plus Diesel,Hyundai,64696,Diesel,Manual,750000,4
203,2015,Datsun GO A EPS,Datsun,120000,Petrol,Manual,130000,8
204,2015,BMW 5 Series 520d Luxury Line,BMW,72000,Diesel,Automatic,2100000,8
205,2008,Maruti Swift 1.3 VXi,Maruti,40208,Petrol,Manual,330000,15
206,2011,Honda City 1.5 V MT,Honda,105958,Petrol,Manual,262000,12
207,2015,,Maruti,25000,,,500000,8
208,2013,Chevrolet Beat PS,Chevrolet,55330,Petrol,Manual,265000,10
209,2018,Mercedes-Benz S-Class S400,Mercedes-Benz,31000,Petrol,Automatic,6711000,5
210,2020,Maruti XL6 Zeta,Maruti,8135,Petrol,Manual,1000000,3
211,2008,Maruti Wagon R LXI Minor,Maruti,43455,Petrol,Manual,110000,15
212,2010,Hyundai Accent GLE,Hyundai,93077,Petrol,Manual,100000,13
213,2020,Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,Land,18100,Diesel,Automatic,7000000,3
214,2019,Honda Amaze VX CVT Petrol BSIV,Honda,31142,Petrol,Automatic,710000,4
215,2015,,Maruti,25000,,,500000,8
216,2015,Toyota Fortuner 4x2 Manual,Toyota,81772,Diesel,Manual,1375000,8
217,2014,Hyundai EON D Lite Plus,Hyundai,60844,Petrol,Manual,185000,9
218,2017,Toyota Corolla Altis 1.8 G CVT,Toyota,70000,Petrol,Automatic,1000000,6
219,2013,Maruti Swift Dzire VDI,Maruti,280374,Diesel,Manual,250000,10
220,2016,Hyundai Xcent 1.2 Kappa SX,Hyundai,78317,Petrol,Manual,470000,7
221,2015,Maruti Swift Dzire LDI,Maruti,105665,Diesel,Manual,350000,8
222,2015,BMW X5 xDrive 30d,BMW,78000,Diesel,Automatic,3200000,8
223,2015,,Maruti,25000,,,500000,8
224,2017,Maruti Swift Dzire VXI Optional,Maruti,31232,Petrol,Manual,600000,6
225,2008,Honda City GXi,Honda,101778,Petrol,Manual,100000,15
226,2017,Maruti Eeco 5 Seater AC BSIV,Maruti,78046,Petrol,Manual,400000,6
227,2017,BMW 5 Series 520d Modern Line,BMW,41000,Diesel,Automatic,2900000,6
228,2007,Honda City GXi,Honda,111051,Petrol,Manual,100000,16
229,2020,Maruti Wagon R VXI,Maruti,16582,Petrol,Manual,500000,3
230,2022,Mahindra Thar LX 4-Str Hard Top,Mahindra,5000,Petrol,Manual,1350000,1
231,2015,,Maruti,25000,,,500000,8
232,2016,Honda City i VTEC CVT SV,Honda,58000,Petrol,Automatic,735000,7
233,2018,Tata Tigor XZ Plus,Tata,79253,Petrol,Manual,370000,5
234,2009,Hyundai i10 Era 1.1,Hyundai,87569,Petrol,Manual,150000,14
235,2014,Volkswagen Polo 1.5 TDI Highline,Volkswagen,115248,Diesel,Manual,365000,9
236,2015,Audi A6 35 TDI,Audi,50000,Diesel,Automatic,2411000,8
237,2012,Audi Q7 3.0 TDI Quattro Premium Plus,Audi,88000,Diesel,Automatic,1425000,11
238,2016,Ford Endeavour 2.2 Titanium AT 4X2,Ford,108038,Diesel,Automatic,1600000,7
239,2015,,Maruti,25000,,,500000,8
240,2009,Hyundai Santro Xing GLS LPG,Hyundai,79999,LPG,Manual,220000,14
241,2014,Honda City i DTec S,Honda,90000,Diesel,Manual,525000,9
242,2016,Maruti Ertiga SHVS ZDI Plus,Maruti,117304,Diesel,Manual,600000,7
243,2016,Mahindra TUV 300 mHAWK100 T8,Mahindra,45628,Diesel,Manual,500000,7
244,2014,Hyundai Verna 1.6 SX CRDi (O),Hyundai,71273,Diesel,Manual,375000,9
245,2021,Mahindra Thar LX 4-Str Convert Top Diesel AT,Mahindra,18000,Diesel,Automatic,1711000,2
246,2013,Hyundai i20 Magna Optional 1.4 CRDi,Hyundai,112779,Diesel,Manual,275000,10
247,2015,,Maruti,25000,,,500000,8
248,2016,Mahindra Verito 1.5 D4 BSIV,Mahindra,75915,Diesel,Manual,360000,7
249,2014,Mercedes-Benz GLA Class 200 CDI,Mercedes-Benz,84348,Diesel,Automatic,95000,9
250,2019,Hyundai i20 Magna Plus,Hyundai,48000,Petrol,Manual,625000,4
251,2008,Maruti Alto LX,Maruti,93924,Petrol,Manual,110000,15
252,2014,Honda City i VTEC V,Honda,67176,Petrol,Manual,570000,9
253,2006,Maruti Alto LX,Maruti,70000,Petrol,Manual,140000,17
254,2019,MG Hector Sharp Diesel MT BSIV,MG,95000,Diesel,Manual,1800000,4
255,2015,,Maruti,25000,,,500000,8
256,2018,Maruti Eeco CNG 5 Seater AC BSIV,Maruti,139425,CNG,Manual,325000,5
257,2016,Maruti Wagon R AMT VXI,Maruti,34895,Petrol,Automatic,375000,7
258,2013,Mercedes-Benz A Class A180 CDI,Mercedes-Benz,30383,Diesel,Automatic,1100000,10
259,2015,Mercedes-Benz E-Class E250 CDI Avantgarde,Mercedes-Benz,70000,Diesel,Automatic,1811000,8
260,2012,Mercedes-Benz C-Class C 220 CDI BE Avantgare,Mercedes-Benz,109034,Diesel,Automatic,1000000,11
261,2020,Maruti Swift LXI,Maruti,5970,Petrol,Manual,545000,3
262,2013,Tata Indica TDI LX,Tata,146401,Diesel,Manual,110000,10
263,2015,,Maruti,25000,,,500000,8
264,2013,Audi Q5 2.0 TDI Premium Plus,Audi,51000,Diesel,Automatic,1425000,10
265,2019,Mahindra XUV300 W8 Diesel BSIV,Mahindra,39492,Diesel,Manual,900000,4
266,2016,Renault KWID 1.0 RXT,Renault,24000,Petrol,Manual,299000,7
267,2007,Honda Accord VTi-L AT,Honda,81000,Petrol,Automatic,199000,16
268,2018,Mercedes-Benz E-Class Exclusive E 220 d BSIV,Mercedes-Benz,52000,Diesel,Automatic,4370000,5
269,2014,Hyundai i20 Era 1.4 CRDi,Hyundai,110000,Diesel,Manual,350000,9
270,2019,Renault KWID 1.0 RXL,Renault,26000,Petrol,Manual,365000,4
271,2015,,Maruti,25000,,,500000,8
272,2017,Honda City i VTEC VX,Honda,43000,Petrol,Manual,799000,6
273,2019,Skoda Kodiaq 2.0 TDI Laurin Klement,Skoda,47000,Diesel,Automatic,3100000,4
274,2017,Honda City i VTEC VX,Honda,43000,Petrol,Manual,799000,6
275,2011,Mahindra XUV500 W6 2WD,Mahindra,120000,Diesel,Manual,520000,12
276,2018,Tata Hexa XMA,Tata,61000,Diesel,Automatic,1195000,5
277,2018,Honda City i-VTEC S,Honda,50618,Petrol,Manual,750000,5
278,2014,Honda Brio S MT,Honda,70000,Petrol,Manual,275000,9
279,2015,,Maruti,25000,,,500000,8
280,2013,Hyundai Grand i10 CRDi Asta,Hyundai,70000,Diesel,Manual,310000,10
281,2018,Mahindra XUV500 W9 2WD,Mahindra,100000,Diesel,Manual,1100000,5
282,2017,Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes-Benz,42000,Diesel,Automatic,2911000,6
283,2014,Volvo V40 Cross Country D3,Volvo,80860,Diesel,Automatic,1650000,9
284,2016,Hyundai Santa Fe 4WD AT,Hyundai,50000,Diesel,Automatic,1500000,7
285,2015,Land Rover Discovery Sport TD4 SE,Land,109000,Diesel,Automatic,2580000,8
286,2022,BMW 7 Series 730Ld DPE Signature,BMW,2500,Diesel,Automatic,95000,1
287,2015,,Maruti,25000,,,500000,8
288,2013,Maruti Wagon R CNG LXI,Maruti,59000,CNG,Manual,290000,10
289,2013,Honda City V AT,Honda,52300,Petrol,Automatic,500000,10
290,2018,BMW 3 Series 320d Luxury Line,BMW,75370,Diesel,Automatic,2950000,5
291,2016,Maruti Ciaz ZDi Plus SHVS,Maruti,69000,Diesel,Manual,675000,7
292,2016,Hyundai Grand i10 Sportz,Hyundai,82000,Petrol,Manual,300000,7
293,2014,Hyundai Verna 1.4 CX,Hyundai,63000,Diesel,Manual,550000,9
294,2020,Renault KWID 1.0 RXT AMT Opt,Renault,45160,Petrol,Automatic,440000,3
295,2015,,Maruti,25000,,,500000,8
296,2018,Honda City i-VTEC CVT VX,Honda,44000,Petrol,Automatic,940000,5
297,2020,Renault Triber RXZ BSIV,Renault,20200,Petrol,Manual,640000,3
298,2018,Renault KWID Climber 1.0 AMT,Renault,26792,Petrol,Automatic,475000,5
299,2014,Honda Amaze S AT i-Vtech,Honda,60000,Petrol,Automatic,350000,9
300,2016,Maruti Ciaz ZDi Plus SHVS,Maruti,47000,Diesel,Manual,725000,7
301,2018,Tata Zest Quadrajet 1.3 75PS XMS,Tata,120000,Diesel,Manual,320000,5
302,2016,Renault Duster Petrol RxE,Renault,67010,Petrol,Manual,545000,7
303,2015,,Maruti,25000,,,500000,8
304,2017,Audi A4 35 TDI Premium Plus,Audi,71400,Diesel,Automatic,2750000,6
305,2022,Maruti Swift Dzire ZXI CNG,Maruti,1000,CNG,Manual,950000,1
306,2016,Ford Ecosport 1.5 Ti VCT AT Titanium BE BSIV,Ford,52655,Petrol,Automatic,625000,7
307,2018,Maruti Ciaz Alpha BSIV,Maruti,23600,Petrol,Manual,775000,5
308,2021,Kia Sonet 1.2 HTE,Kia,15000,Petrol,Manual,790000,2
309,2014,Audi Q3 2.0 TDI,Audi,60000,Diesel,Automatic,1385000,9
310,2016,Renault Duster 110PS Diesel RxZ,Renault,61560,Diesel,Manual,875000,7
311,2015,,Maruti,25000,,,500000,8
312,2015,Maruti Ciaz VXi Plus,Maruti,56307,Petrol,Manual,585000,8
313,2017,Mitsubishi Pajero Sport 4X2 AT Dual Tone,Mitsubishi,39000,Diesel,Automatic,1639000,6
314,2013,Mercedes-Benz E-Class E 200 CGI,Mercedes-Benz,52000,Petrol,Automatic,1475000,10
315,2013,Honda City i VTEC S,Honda,45000,Petrol,Manual,460000,10
316,2020,Honda Amaze S Diesel,Honda,36510,Diesel,Manual,775000,3
317,2019,BMW X3 xDrive 20d Luxury Line,BMW,62360,Diesel,Automatic,5150000,4
318,2017,Honda City i-VTEC CVT V,Honda,43417,Petrol,Automatic,895000,6
319,2015,,Maruti,25000,,,500000,8
320,2010,Maruti Swift VXI BSIII,Maruti,30685,Petrol,Manual,210000,13
321,2019,Kia Seltos HTK Plus AT D,Kia,48760,Diesel,Automatic,1540000,4
322,2015,Honda Jazz 1.2 V AT i VTEC,Honda,46000,Petrol,Automatic,565000,8
323,2021,Audi Q2 Premium,Audi,9700,Petrol,Automatic,3875000,2
324,2020,Mahindra Thar LX 4-Str Hard Top Diesel,Mahindra,19100,Diesel,Manual,1425000,3
325,2016,Honda Jazz 1.2 V i VTEC,Honda,28100,Petrol,Manual,540000,7
326,2015,Volkswagen Vento 1.2 TSI Highline AT,Volkswagen,66000,Petrol,Automatic,575000,8
327,2015,,Maruti,25000,,,500000,8
